Modelo; Placa; Ano; Estilo carroceria; Categoria; Id do proprietário;
Gol;ABC1A01;2018;Hatch;HATCH;1
Onix;ABC1A02;2020;Hatch;HATCH;2
HB20;ABC1A03;2021;Hatch;HATCH;3
Corolla;ABC1A04;2022;Sedan;SEDAN;4
Civic;ABC1A05;2019;Sedan;SEDAN;5
Compass;ABC1A06;2023;SUV;SUV;6
Renegade;ABC1A07;2021;SUV;SUV;7
Tracker;ABC1A08;2022;SUV;SUV;8
Creta;ABC1A09;2020;SUV;SUV;9
Kwid;ABC1A10;2019;Hatch;HATCH;10
Mobi;ABC1A11;2021;Hatch;HATCH;11
Polo;ABC1A12;2023;Hatch;HATCH;12
Virtus;ABC1A13;2022;Sedan;SEDAN;13
Cruze;ABC1A14;2020;Sedan;SEDAN;14
Yaris;ABC1A15;2021;Hatch;HATCH;15
T-Cross;ABC1A16;2023;SUV;SUV;16
Nivus;ABC1A17;2022;SUV;SUV;17
Pulse;ABC1A18;2023;SUV;SUV;18
Fastback;ABC1A19;2023;SUV;SUV;19
Commander;ABC1A20;2022;SUV;SUV;20
BMW X3;ABC1A21;2024;SUV;SUV;1
Audi A4;ABC1A22;2023;Sedan;SEDAN;2
Mercedes C180;ABC1A23;2022;Sedan;SEDAN;3
Volvo XC60;ABC1A24;2023;SUV;SUV;4
City;ABC1A25;2021;Sedan;SEDAN;5
Sentra;ABC1A26;2020;Sedan;SEDAN;6
Jetta;ABC1A27;2023;Sedan;SEDAN;7
Fit;ABC1A28;2020;Hatch;HATCH;8
Argo;ABC1A29;2023;Hatch;HATCH;9
Sandero;ABC1A30;2021;Hatch;HATCH;10
